,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,duration
15,-2,-2,-2,-2,3,3,3,3,-5,-5,-5,-5,-11,-11,-11,-11,-10,-10,-10,-10,-4,-4,-4,-4,-10,-10,-10,-10,1,1,1,1,10,10,10,10,14,14,14,14,19,19,19,19,12,12,12,12,6,6,6,6,9,9,9,9,21,21,21,21,33,33,33,33,23,23,23,23,33,33,33,33,32,32,32,32,20,20,20,20,30,30,30,30,18,18,18,18,10,10,10,10,17,17,17,17,24,24,24,24,25
16,11,11,11,11,14,14,14,14,18,18,18,18,21,21,21,21,18,18,18,18,24,24,24,24,26,26,26,26,32,32,32,32,30,30,30,30,37,37,37,37,46,46,46,46,56,56,56,56,60,60,60,60,70,70,70,70,74,74,74,74,81,81,81,81,76,76,76,76,83,83,83,83,79,79,79,79,67,67,67,67,74,74,74,74,86,86,86,86,95,95,95,95,106,106,106,106,115,115,115,115,25
17,11,11,11,11,19,19,19,19,24,24,24,24,23,23,23,23,26,26,26,26,30,30,30,30,24,24,24,24,26,26,26,26,37,37,37,37,48,48,48,48,60,60,60,60,68,68,68,68,58,58,58,58,53,53,53,53,46,46,46,46,43,43,43,43,41,41,41,41,48,48,48,48,58,58,58,58,58,58,58,58,50,50,50,50,38,38,38,38,32,32,32,32,30,30,30,30,32,32,32,32,25
18,5,5,5,5,1,1,1,1,3,3,3,3,-4,-4,-4,-4,1,1,1,1,5,5,5,5,-2,-2,-2,-2,-14,-14,-14,-14,-17,-17,-17,-17,-21,-21,-21,-21,-15,-15,-15,-15,-13,-13,-13,-13,-3,-3,-3,-3,-3,-3,-3,-3,-6,-6,-6,-6,-3,-3,-3,-3,-6,-6,-6,-6,-10,-10,-10,-10,-4,-4,-4,-4,4,4,4,4,4,4,4,4,-7,-7,-7,-7,-2,-2,-2,-2,-12,-12,-12,-12,-10,-10,-10,-10,25
19,-10,-10,-10,-10,0,0,0,0,11,11,11,11,8,8,8,8,7,7,7,7,19,19,19,19,22,22,22,22,29,29,29,29,21,21,21,21,22,22,22,22,18,18,18,18,10,10,10,10,-2,-2,-2,-2,-14,-14,-14,-14,-22,-22,-22,-22,-22,-22,-22,-22,-11,-11,-11,-11,-18,-18,-18,-18,-12,-12,-12,-12,-15,-15,-15,-15,-5,-5,-5,-5,-17,-17,-17,-17,-10,-10,-10,-10,-16,-16,-16,-16,-4,-4,-4,-4,25
20,6,6,6,6,11,11,11,11,-1,-1,-1,-1,-6,-6,-6,-6,-7,-7,-7,-7,-6,-6,-6,-6,-13,-13,-13,-13,-18,-18,-18,-18,-24,-24,-24,-24,-27,-27,-27,-27,-20,-20,-20,-20,-16,-16,-16,-16,-8,-8,-8,-8,-11,-11,-11,-11,-7,-7,-7,-7,-1,-1,-1,-1,3,3,3,3,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,-1,-1,-1,-1,7,7,7,7,2,2,2,2,10,10,10,10,25
21,10,10,10,10,3,3,3,3,0,0,0,0,9,9,9,9,18,18,18,18,15,15,15,15,21,21,21,21,31,31,31,31,34,34,34,34,36,36,36,36,34,34,34,34,40,40,40,40,48,48,48,48,36,36,36,36,33,33,33,33,29,29,29,29,19,19,19,19,8,8,8,8,2,2,2,2,7,7,7,7,-2,-2,-2,-2,-12,-12,-12,-12,-22,-22,-22,-22,-24,-24,-24,-24,-28,-28,-28,-28,25
22,-10,-10,-10,-10,-1,-1,-1,-1,5,5,5,5,15,15,15,15,9,9,9,9,2,2,2,2,-10,-10,-10,-10,-1,-1,-1,-1,2,2,2,2,0,0,0,0,-9,-9,-9,-9,-11,-11,-11,-11,-14,-14,-14,-14,-10,-10,-10,-10,1,1,1,1,11,11,11,11,11,11,11,11,9,9,9,9,2,2,2,2,-3,-3,-3,-3,-15,-15,-15,-15,-12,-12,-12,-12,-7,-7,-7,-7,-10,-10,-10,-10,-11,-11,-11,-11,25
23,-11,-11,-11,-11,-17,-17,-17,-17,-13,-13,-13,-13,-7,-7,-7,-7,-2,-2,-2,-2,-8,-8,-8,-8,-15,-15,-15,-15,-15,-15,-15,-15,-22,-22,-22,-22,-13,-13,-13,-13,-1,-1,-1,-1,-4,-4,-4,-4,-6,-6,-6,-6,-5,-5,-5,-5,-16,-16,-16,-16,-8,-8,-8,-8,-19,-19,-19,-19,-26,-26,-26,-26,-25,-25,-25,-25,-28,-28,-28,-28,-35,-35,-35,-35,-28,-28,-28,-28,-29,-29,-29,-29,-29,-29,-29,-29,-21,-21,-21,-21,25
24,-12,-12,-12,-12,-21,-21,-21,-21,-28,-28,-28,-28,-33,-33,-33,-33,-21,-21,-21,-21,-27,-27,-27,-27,-38,-38,-38,-38,-48,-48,-48,-48,-60,-60,-60,-60,-59,-59,-59,-59,-57,-57,-57,-57,-57,-57,-57,-57,-68,-68,-68,-68,-64,-64,-64,-64,-59,-59,-59,-59,-50,-50,-50,-50,-42,-42,-42,-42,-36,-36,-36,-36,-40,-40,-40,-40,-51,-51,-51,-51,-54,-54,-54,-54,-58,-58,-58,-58,-48,-48,-48,-48,-54,-54,-54,-54,-62,-62,-62,-62,25
25,1,1,1,1,2,2,2,2,-8,-8,-8,-8,-18,-18,-18,-18,-27,-27,-27,-27,-29,-29,-29,-29,-18,-18,-18,-18,-10,-10,-10,-10,-3,-3,-3,-3,1,1,1,1,3,3,3,3,-7,-7,-7,-7,-2,-2,-2,-2,-9,-9,-9,-9,-3,-3,-3,-3,-13,-13,-13,-13,-25,-25,-25,-25,-18,-18,-18,-18,-19,-19,-19,-19,-26,-26,-26,-26,-37,-37,-37,-37,-41,-41,-41,-41,-35,-35,-35,-35,-39,-39,-39,-39,-34,-34,-34,-34,25
26,4,4,4,4,10,10,10,10,19,19,19,19,25,25,25,25,17,17,17,17,27,27,27,27,36,36,36,36,27,27,27,27,21,21,21,21,23,23,23,23,20,20,20,20,27,27,27,27,26,26,26,26,30,30,30,30,30,30,30,30,30,30,30,30,42,42,42,42,34,34,34,34,38,38,38,38,44,44,44,44,49,49,49,49,58,58,58,58,67,67,67,67,67,67,67,67,75,75,75,75,25
27,-4,-4,-4,-4,8,8,8,8,20,20,20,20,14,14,14,14,23,23,23,23,19,19,19,19,22,22,22,22,33,33,33,33,41,41,41,41,30,30,30,30,19,19,19,19,19,19,19,19,25,25,25,25,20,20,20,20,17,17,17,17,27,27,27,27,23,23,23,23,20,20,20,20,14,14,14,14,17,17,17,17,28,28,28,28,23,23,23,23,18,18,18,18,9,9,9,9,8,8,8,8,25
28,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,11,11,11,11,9,9,9,9,8,8,8,8,0,0,0,0,4,4,4,4,12,12,12,12,11,11,11,11,19,19,19,19,25,25,25,25,13,13,13,13,24,24,24,24,16,16,16,16,22,22,22,22,31,31,31,31,40,40,40,40,38,38,38,38,27,27,27,27,27,27,27,27,15,15,15,15,18,18,18,18,22,22,22,22,18,18,18,18,25
29,5,5,5,5,-6,-6,-6,-6,-6,-6,-6,-6,-8,-8,-8,-8,-17,-17,-17,-17,-13,-13,-13,-13,-23,-23,-23,-23,-27,-27,-27,-27,-39,-39,-39,-39,-30,-30,-30,-30,-24,-24,-24,-24,-27,-27,-27,-27,-32,-32,-32,-32,-36,-36,-36,-36,-46,-46,-46,-46,-39,-39,-39,-39,-49,-49,-49,-49,-43,-43,-43,-43,-31,-31,-31,-31,-28,-28,-28,-28,-37,-37,-37,-37,-49,-49,-49,-49,-46,-46,-46,-46,-57,-57,-57,-57,-55,-55,-55,-55,25
30,-5,-5,-5,-5,7,7,7,7,16,16,16,16,18,18,18,18,22,22,22,22,17,17,17,17,25,25,25,25,24,24,24,24,14,14,14,14,26,26,26,26,17,17,17,17,18,18,18,18,24,24,24,24,31,31,31,31,36,36,36,36,47,47,47,47,54,54,54,54,52,52,52,52,61,61,61,61,56,56,56,56,56,56,56,56,58,58,58,58,58,58,58,58,69,69,69,69,77,77,77,77,25
31,-6,-6,-6,-6,-15,-15,-15,-15,-23,-23,-23,-23,-27,-27,-27,-27,-36,-36,-36,-36,-42,-42,-42,-42,-39,-39,-39,-39,-30,-30,-30,-30,-27,-27,-27,-27,-38,-38,-38,-38,-37,-37,-37,-37,-41,-41,-41,-41,-51,-51,-51,-51,-39,-39,-39,-39,-41,-41,-41,-41,-47,-47,-47,-47,-48,-48,-48,-48,-38,-38,-38,-38,-28,-28,-28,-28,-30,-30,-30,-30,-30,-30,-30,-30,-40,-40,-40,-40,-36,-36,-36,-36,-43,-43,-43,-43,-39,-39,-39,-39,25
32,5,5,5,5,14,14,14,14,13,13,13,13,13,13,13,13,12,12,12,12,15,15,15,15,20,20,20,20,11,11,11,11,1,1,1,1,10,10,10,10,20,20,20,20,23,23,23,23,29,29,29,29,34,34,34,34,33,33,33,33,21,21,21,21,19,19,19,19,26,26,26,26,36,36,36,36,41,41,41,41,51,51,51,51,62,62,62,62,70,70,70,70,61,61,61,61,57,57,57,57,25
33,6,6,6,6,4,4,4,4,11,11,11,11,7,7,7,7,7,7,7,7,11,11,11,11,13,13,13,13,12,12,12,12,19,19,19,19,15,15,15,15,17,17,17,17,29,29,29,29,19,19,19,19,20,20,20,20,22,22,22,22,22,22,22,22,18,18,18,18,29,29,29,29,27,27,27,27,24,24,24,24,27,27,27,27,20,20,20,20,29,29,29,29,29,29,29,29,27,27,27,27,25
34,0,0,0,0,4,4,4,4,5,5,5,5,6,6,6,6,16,16,16,16,23,23,23,23,21,21,21,21,14,14,14,14,12,12,12,12,9,9,9,9,16,16,16,16,11,11,11,11,12,12,12,12,7,7,7,7,15,15,15,15,3,3,3,3,3,3,3,3,15,15,15,15,3,3,3,3,1,1,1,1,2,2,2,2,14,14,14,14,26,26,26,26,30,30,30,30,41,41,41,41,25
35,-12,-12,-12,-12,-11,-11,-11,-11,1,1,1,1,13,13,13,13,2,2,2,2,-4,-4,-4,-4,-11,-11,-11,-11,-16,-16,-16,-16,-9,-9,-9,-9,-16,-16,-16,-16,-26,-26,-26,-26,-29,-29,-29,-29,-38,-38,-38,-38,-33,-33,-33,-33,-26,-26,-26,-26,-37,-37,-37,-37,-35,-35,-35,-35,-44,-44,-44,-44,-37,-37,-37,-37,-37,-37,-37,-37,-38,-38,-38,-38,-37,-37,-37,-37,-44,-44,-44,-44,-36,-36,-36,-36,-37,-37,-37,-37,25
36,-10,-10,-10,-10,-6,-6,-6,-6,-8,-8,-8,-8,-18,-18,-18,-18,-18,-18,-18,-18,-16,-16,-16,-16,-23,-23,-23,-23,-25,-25,-25,-25,-32,-32,-32,-32,-20,-20,-20,-20,-12,-12,-12,-12,-22,-22,-22,-22,-23,-23,-23,-23,-35,-35,-35,-35,-31,-31,-31,-31,-32,-32,-32,-32,-29,-29,-29,-29,-24,-24,-24,-24,-26,-26,-26,-26,-34,-34,-34,-34,-22,-22,-22,-22,-28,-28,-28,-28,-32,-32,-32,-32,-38,-38,-38,-38,-30,-30,-30,-30,25
37,7,7,7,7,13,13,13,13,8,8,8,8,16,16,16,16,23,23,23,23,27,27,27,27,17,17,17,17,24,24,24,24,12,12,12,12,17,17,17,17,6,6,6,6,3,3,3,3,13,13,13,13,19,19,19,19,8,8,8,8,17,17,17,17,24,24,24,24,32,32,32,32,27,27,27,27,29,29,29,29,18,18,18,18,7,7,7,7,12,12,12,12,6,6,6,6,17,17,17,17,25
38,-2,-2,-2,-2,-12,-12,-12,-12,-6,-6,-6,-6,-5,-5,-5,-5,-8,-8,-8,-8,-18,-18,-18,-18,-23,-23,-23,-23,-34,-34,-34,-34,-31,-31,-31,-31,-34,-34,-34,-34,-38,-38,-38,-38,-26,-26,-26,-26,-36,-36,-36,-36,-24,-24,-24,-24,-18,-18,-18,-18,-12,-12,-12,-12,-10,-10,-10,-10,0,0,0,0,-3,-3,-3,-3,7,7,7,7,2,2,2,2,6,6,6,6,17,17,17,17,6,6,6,6,1,1,1,1,25
39,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-10,-10,-10,-10,-8,-8,-8,-8,-3,-3,-3,-3,-9,-9,-9,-9,-16,-16,-16,-16,-14,-14,-14,-14,-8,-8,-8,-8,-18,-18,-18,-18,-9,-9,-9,-9,-20,-20,-20,-20,-26,-26,-26,-26,-27,-27,-27,-27,-15,-15,-15,-15,-11,-11,-11,-11,-13,-13,-13,-13,-2,-2,-2,-2,3,3,3,3,-4,-4,-4,-4,0,0,0,0,8,8,8,8,-4,-4,-4,-4,-2,-2,-2,-2,25
40,12,12,12,12,23,23,23,23,20,20,20,20,8,8,8,8,6,6,6,6,12,12,12,12,11,11,11,11,11,11,11,11,22,22,22,22,16,16,16,16,23,23,23,23,12,12,12,12,11,11,11,11,23,23,23,23,11,11,11,11,6,6,6,6,-3,-3,-3,-3,-11,-11,-11,-11,-1,-1,-1,-1,2,2,2,2,6,6,6,6,5,5,5,5,11,11,11,11,14,14,14,14,23,23,23,23,25
41,3,3,3,3,0,0,0,0,-2,-2,-2,-2,2,2,2,2,-9,-9,-9,-9,-15,-15,-15,-15,-12,-12,-12,-12,-17,-17,-17,-17,-7,-7,-7,-7,4,4,4,4,5,5,5,5,13,13,13,13,11,11,11,11,13,13,13,13,10,10,10,10,2,2,2,2,8,8,8,8,8,8,8,8,4,4,4,4,-1,-1,-1,-1,8,8,8,8,7,7,7,7,1,1,1,1,-11,-11,-11,-11,-12,-12,-12,-12,25
42,6,6,6,6,-1,-1,-1,-1,-6,-6,-6,-6,1,1,1,1,10,10,10,10,4,4,4,4,-3,-3,-3,-3,9,9,9,9,14,14,14,14,20,20,20,20,29,29,29,29,18,18,18,18,29,29,29,29,34,34,34,34,42,42,42,42,38,38,38,38,39,39,39,39,40,40,40,40,28,28,28,28,19,19,19,19,17,17,17,17,10,10,10,10,19,19,19,19,7,7,7,7,-2,-2,-2,-2,25
43,-12,-12,-12,-12,-14,-14,-14,-14,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-26,-26,-26,-26,-20,-20,-20,-20,-30,-30,-30,-30,-42,-42,-42,-42,-40,-40,-40,-40,-31,-31,-31,-31,-42,-42,-42,-42,-45,-45,-45,-45,-50,-50,-50,-50,-54,-54,-54,-54,-44,-44,-44,-44,-39,-39,-39,-39,-37,-37,-37,-37,-26,-26,-26,-26,-34,-34,-34,-34,-46,-46,-46,-46,-40,-40,-40,-40,-39,-39,-39,-39,-41,-41,-41,-41,-45,-45,-45,-45,25
44,10,10,10,10,8,8,8,8,17,17,17,17,26,26,26,26,19,19,19,19,20,20,20,20,13,13,13,13,22,22,22,22,22,22,22,22,26,26,26,26,24,24,24,24,12,12,12,12,19,19,19,19,25,25,25,25,16,16,16,16,13,13,13,13,20,20,20,20,29,29,29,29,40,40,40,40,37,37,37,37,35,35,35,35,32,32,32,32,33,33,33,33,21,21,21,21,20,20,20,20,25
45,-6,-6,-6,-6,1,1,1,1,0,0,0,0,10,10,10,10,12,12,12,12,23,23,23,23,27,27,27,27,26,26,26,26,34,34,34,34,38,38,38,38,34,34,34,34,29,29,29,29,22,22,22,22,26,26,26,26,20,20,20,20,9,9,9,9,20,20,20,20,9,9,9,9,5,5,5,5,13,13,13,13,16,16,16,16,11,11,11,11,0,0,0,0,11,11,11,11,3,3,3,3,25
46,-12,-12,-12,-12,-13,-13,-13,-13,-7,-7,-7,-7,-2,-2,-2,-2,-4,-4,-4,-4,-12,-12,-12,-12,-21,-21,-21,-21,-17,-17,-17,-17,-25,-25,-25,-25,-29,-29,-29,-29,-33,-33,-33,-33,-29,-29,-29,-29,-40,-40,-40,-40,-34,-34,-34,-34,-30,-30,-30,-30,-26,-26,-26,-26,-25,-25,-25,-25,-14,-14,-14,-14,-25,-25,-25,-25,-22,-22,-22,-22,-23,-23,-23,-23,-26,-26,-26,-26,-29,-29,-29,-29,-20,-20,-20,-20,-20,-20,-20,-20,25
47,-8,-8,-8,-8,-6,-6,-6,-6,-7,-7,-7,-7,-4,-4,-4,-4,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-26,-26,-26,-26,-15,-15,-15,-15,-5,-5,-5,-5,6,6,6,6,15,15,15,15,24,24,24,24,20,20,20,20,25,25,25,25,17,17,17,17,9,9,9,9,4,4,4,4,15,15,15,15,13,13,13,13,22,22,22,22,22,22,22,22,23,23,23,23,16,16,16,16,25,25,25,25,25
48,11,11,11,11,11,11,11,11,9,9,9,9,-1,-1,-1,-1,0,0,0,0,-10,-10,-10,-10,1,1,1,1,11,11,11,11,21,21,21,21,16,16,16,16,10,10,10,10,19,19,19,19,18,18,18,18,11,11,11,11,3,3,3,3,7,7,7,7,18,18,18,18,10,10,10,10,21,21,21,21,17,17,17,17,16,16,16,16,13,13,13,13,25,25,25,25,20,20,20,20,22,22,22,22,25
49,-10,-10,-10,-10,-3,-3,-3,-3,4,4,4,4,10,10,10,10,6,6,6,6,-3,-3,-3,-3,-8,-8,-8,-8,-17,-17,-17,-17,-21,-21,-21,-21,-26,-26,-26,-26,-37,-37,-37,-37,-36,-36,-36,-36,-48,-48,-48,-48,-39,-39,-39,-39,-36,-36,-36,-36,-39,-39,-39,-39,-31,-31,-31,-31,-38,-38,-38,-38,-32,-32,-32,-32,-34,-34,-34,-34,-40,-40,-40,-40,-49,-49,-49,-49,-57,-57,-57,-57,-45,-45,-45,-45,-54,-54,-54,-54,25
50,-6,-6,-6,-6,-3,-3,-3,-3,-12,-12,-12,-12,-8,-8,-8,-8,-19,-19,-19,-19,-18,-18,-18,-18,-14,-14,-14,-14,-22,-22,-22,-22,-23,-23,-23,-23,-28,-28,-28,-28,-22,-22,-22,-22,-34,-34,-34,-34,-38,-38,-38,-38,-49,-49,-49,-49,-41,-41,-41,-41,-34,-34,-34,-34,-29,-29,-29,-29,-32,-32,-32,-32,-38,-38,-38,-38,-50,-50,-50,-50,-39,-39,-39,-39,-45,-45,-45,-45,-48,-48,-48,-48,-47,-47,-47,-47,-50,-50,-50,-50,25
51,-11,-11,-11,-11,-19,-19,-19,-19,-22,-22,-22,-22,-30,-30,-30,-30,-35,-35,-35,-35,-38,-38,-38,-38,-27,-27,-27,-27,-28,-28,-28,-28,-25,-25,-25,-25,-36,-36,-36,-36,-33,-33,-33,-33,-45,-45,-45,-45,-49,-49,-49,-49,-44,-44,-44,-44,-54,-54,-54,-54,-43,-43,-43,-43,-50,-50,-50,-50,-41,-41,-41,-41,-53,-53,-53,-53,-45,-45,-45,-45,-51,-51,-51,-51,-42,-42,-42,-42,-52,-52,-52,-52,-51,-51,-51,-51,-62,-62,-62,-62,25
52,0,0,0,0,-2,-2,-2,-2,-11,-11,-11,-11,-20,-20,-20,-20,-21,-21,-21,-21,-29,-29,-29,-29,-30,-30,-30,-30,-32,-32,-32,-32,-28,-28,-28,-28,-25,-25,-25,-25,-32,-32,-32,-32,-43,-43,-43,-43,-39,-39,-39,-39,-42,-42,-42,-42,-48,-48,-48,-48,-39,-39,-39,-39,-27,-27,-27,-27,-16,-16,-16,-16,-17,-17,-17,-17,-28,-28,-28,-28,-23,-23,-23,-23,-34,-34,-34,-34,-39,-39,-39,-39,-40,-40,-40,-40,-31,-31,-31,-31,25
53,-2,-2,-2,-2,0,0,0,0,5,5,5,5,13,13,13,13,6,6,6,6,18,18,18,18,14,14,14,14,16,16,16,16,24,24,24,24,15,15,15,15,13,13,13,13,1,1,1,1,3,3,3,3,11,11,11,11,17,17,17,17,5,5,5,5,4,4,4,4,-3,-3,-3,-3,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,-8,-8,-8,-8,-7,-7,-7,-7,1,1,1,1,25
